STORE_ID,LONGITUDE,LATITUDE,WEEK,MONTH,YEAR,GPS ENPLANEMENTS,TRUE MONTHLY ENPLANED,WEEKLY ENPLANEMENTS,WEEKLY ADJUSTMENT
CAE,-81.1208933509194,33.9401977271091,1,1,2019,14109.21,58034000,11231295,21.09
CAK,-81.4430843610263,40.914024359869,1,1,2019,19782.42,58034000,11231295,21.09
CCR,-122.053826283896,37.9817003601707,1,1,2019,87354.78,58034000,11231295,21.09
CDC,-113.098899020746,37.7009121610726,1,1,2019,927.96,58034000,11231295,21.09
CDV,-145.475277573018,60.4927004706142,1,1,2019,189.81,58034000,11231295,21.09
CHA,-85.2028584517008,35.0342259356313,1,1,2019,11726.04,58034000,11231295,21.09
CHO,-78.4521077785143,38.1383293200633,1,1,2019,3163.5,58034000,11231295,21.09
CHS,-80.0472686056228,32.8971994179266,1,1,2019,63544.17,58034000,11231295,21.09
CID,-91.7121647062395,41.8869150001031,1,1,2019,8372.73,58034000,11231295,21.09
CIU,-84.4655297366275,46.2475248270837,1,1,2019,400.71,58034000,11231295,21.09
CKB,-80.2249451075475,39.2996034602893,1,1,2019,2383.17,58034000,11231295,21.09
CLE,-81.8539619454687,41.4073770450806,1,1,2019,90307.38,58034000,11231295,21.09
CLL,-96.3619689852566,30.5870124579278,1,1,2019,2762.79,58034000,11231295,21.09
CLT,-80.9489171341227,35.2146107392563,1,1,2019,277734.21,58034000,11231295,21.09
CMH,-82.8931529067243,39.9944757935399,1,1,2019,97267.08,58034000,11231295,21.09
CMI,-88.2772154420219,40.0385562846781,1,1,2019,3163.5,58034000,11231295,21.09
CMX,-88.4871697075422,47.1677068650883,1,1,2019,738.15,58034000,11231295,21.09
CNY,-109.75075123326,38.7594855364112,1,1,2019,168.72,58034000,11231295,21.09
COD,-109.024624168811,44.5164524558176,1,1,2019,590.52,58034000,11231295,21.09
COS,-104.705894949871,38.8004863703089,1,1,2019,34397.79,58034000,11231295,21.09
COU,-92.2194591684141,38.8165942562793,1,1,2019,1898.1,58034000,11231295,21.09
CPR,-106.466156165521,42.9026440634106,1,1,2019,1834.83,58034000,11231295,21.09
CRP,-97.5038430256009,27.7748954274971,1,1,2019,7613.49,58034000,11231295,21.09
CRW,-81.5910174950553,38.3727379046636,1,1,2019,5335.77,58034000,11231295,21.09
CSG,-84.9401924557286,32.515342231911,1,1,2019,16007.31,58034000,11231295,21.09
CVG,-84.6658351995542,39.0510684864537,1,1,2019,92184.39,58034000,11231295,21.09
CWA,-89.6672831455885,44.7769077652566,1,1,2019,2467.53,58034000,11231295,21.09
DAB,-81.0669180639264,29.1841156824271,1,1,2019,123503.04,58034000,11231295,21.09
DAL,-96.8508191525975,32.8453776870399,1,1,2019,170428.29,58034000,11231295,21.09
DAY,-84.2268712854597,39.9022829530144,1,1,2019,27227.19,58034000,11231295,21.09
DBQ,-90.7080182849897,42.400763054348,1,1,2019,906.87,58034000,11231295,21.09
DCA,-77.0404326596834,38.850457025876,1,1,2019,133731.69,58034000,11231295,21.09
DEN,-104.674007720685,39.864696714768,1,1,2019,414081.06,58034000,11231295,21.09
DFW,-97.0354225578733,32.9007523294921,1,1,2019,579532.11,58034000,11231295,21.09
DHN,-85.4537572891447,31.3226288222752,1,1,2019,2488.62,58034000,11231295,21.09
DIK,-102.797972233559,46.7985389919858,1,1,2019,400.71,58034000,11231295,21.09
DLG,-158.508555517857,59.0435397514483,1,1,2019,231.99,58034000,11231295,21.09
DLH,-92.1954385065523,46.841777481877,1,1,2019,4112.55,58034000,11231295,21.09
DRO,-107.750835517116,37.1571991707529,1,1,2019,3015.87,58034000,11231295,21.09
DSM,-93.6626208597924,41.5324750041745,1,1,2019,22355.4,58034000,11231295,21.09
DTW,-83.3525536145349,42.2173906484169,1,1,2019,224924.85,58034000,11231295,21.09
DUT,-166.543232038861,53.8978056605248,1,1,2019,168.72,58034000,11231295,21.09
EAT,-120.209886034839,47.3985152895574,1,1,2019,1181.04,58034000,11231295,21.09
EAU,-91.4835613011427,44.8651883801708,1,1,2019,674.88,58034000,11231295,21.09
ECP,-85.7924357195263,30.3539108880077,1,1,2019,9237.42,58034000,11231295,21.09
EGE,-106.912046710336,39.6396356743342,1,1,2019,10861.35,58034000,11231295,21.09
EKO,-115.792553560167,40.8249302176935,1,1,2019,738.15,58034000,11231295,21.09
ELM,-76.8931175204565,42.1604953587085,1,1,2019,5841.93,58034000,11231295,21.09
ELP,-106.368643391536,31.8063677476418,1,1,2019,47895.39,58034000,11231295,21.09
